app,est,h,beta,se,lo,hi
CS,SPJ,8,-7.747235860424666,0.8763329259763061,-9.464848395338226,-6.029623325511107
CS,SPJ,9,-7.613270727242443,0.9402119300067384,-9.45608611005565,-5.770455344429236
CS,SPJ,10,-7.892619587950866,1.033856165045722,-9.91897767144048,-5.866261504461251
CS,HPJ,1,-3.736633886054324,0.3237405390557463,-4.371165342603586,-3.1021024295050608
CS,HPJ,2,-3.422536004364437,0.451428277501311,-4.307335428267006,-2.5377365804618672
CS,HPJ,3,-4.094361245305205,0.5459640304602524,-5.164450745007299,-3.02427174560311
CS,HPJ,4,-5.923358284232143,0.6369429566526591,-7.171766479271355,-4.674950089192931
CS,HPJ,5,-4.968398735889782,0.6948737267473213,-6.330351240314531,-3.606446231465032
CS,HPJ,6,-4.353257704330071,0.7250261246760576,-5.774308908695144,-2.932206499964998
CS,HPJ,7,-4.45852379179338,0.7343659040707785,-5.8978809637721055,-3.019166619814654
CS,HPJ,8,-3.876824812815686,0.7549816168510941,-5.35658878184383,-2.397060843787542
CS,HPJ,9,-4.773899483999532,0.780844344530484,-6.304354399279281,-3.2434445687197835
CS,HPJ,10,-5.519437036565847,0.840350375472397,-7.166523772491745,-3.872350300639949
CS,DB,1,-2.588948357954141,0.3237405390557462,-3.223479814503404,-1.9544169014048784
CS,DB,2,-3.384914897632219,0.4514282775013108,-4.269714321534789,-2.50011547372965
CS,DB,3,-4.202263361829012,0.5459640304602525,-5.272352861531108,-3.1321738621269173
CS,DB,4,-4.543467566477674,0.6369429566526589,-5.791875761516886,-3.295059371438463
CS,DB,5,-4.580893048093387,0.6948737267473214,-5.942845552518136,-3.2189405436686367
CS,DB,6,-5.134319349997094,0.7250261246760578,-6.555370554362167,-3.713268145632021
CS,DB,7,-4.719690285100985,0.7343659040707784,-6.159047457079711,-3.28033311312226
CS,DB,8,-4.612537247785937,0.7549816168510941,-6.092301216814081,-3.132773278757793
CS,DB,9,-4.311073966829269,0.780844344530484,-5.841528882109017,-2.78061905154952
CS,DB,10,-4.506567303988432,0.8403503754723969,-6.15365403991433,-2.8594805680625344
CS,CDOLS,1,,,,
CS,CDOLS,2,3.072667628887157,0.2517202757524504,2.579295888412355,3.56603936936196
CS,CDOLS,3,3.1526868692108665,0.2427090826652348,2.676977067187006,3.628396671234727
CS,CDOLS,4,3.315778268007577,0.239974747643295,2.8454277626267186,3.7861287733884352
CS,CDOLS,5,3.3721739766762258,0.2201119178494822,2.9407546176912405,3.803593335661211
CS,CDOLS,6,3.3533197056769573,0.234063320622625,2.894555597256612,3.8120838140973023
CS,CDOLS,7,3.4899679847202902,0.2312615085273423,3.0366954280067,3.943240541433881
CS,CDOLS,8,3.3646314657798797,0.2423670106839508,2.889592124839336,3.839670806720423
CS,CDOLS,9,3.3007020964227185,0.2045873818364936,2.899710828023191,3.701693364822246
CS,CDOLS,10,3.215096406474175,0.2333101670165777,2.7578084791216826,3.672384333826668
