ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
724,1954,0.039080676,0.11728515,0.1487765,0.19108094,0.1678455,0.1835656,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.073195919,-0.0032635201,0.078445628,0.09473446,-0.035326,0.018890001,0.027721999,-0.036729999
724,1955,0.078204475,0.10969584,0.15200028,0.12876484,0.14448494,0.26287168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.039080676,0.073195919,-0.0032635201,0.078445628,0.026296999,-0.035326,0.018890001,0.027721999
724,1956,0.031491362,0.073795803,0.05056037,0.066280477,0.18466723,0.28420162,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.078204475,0.039080676,0.073195919,-0.0032635201,0.021722,0.026296999,-0.035326,0.018890001
724,1957,0.042304441,0.019069007,0.034789111,0.15317586,0.25271022,0.34867519,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.031491362,0.078204475,0.039080676,0.073195919,-0.015992001,0.021722,0.026296999,-0.035326
724,1958,-0.023235435,-0.0075153299,0.11087142,0.2104058,0.30637079,0.35945588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.042304441,0.031491362,0.078204475,0.039080676,0.010097,-0.015992001,0.021722,0.026296999
724,1959,0.015720105,0.13410684,0.23364122,0.32960621,0.38269132,0.44522268,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023235435,0.042304441,0.031491362,0.078204475,0.0092040002,0.010097,-0.015992001,0.021722
724,1960,0.11838675,0.21792112,0.31388611,0.36697119,0.42950255,0.50196314,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.015720105,-0.023235435,0.042304441,0.031491362,0.029351,0.0092040002,0.010097,-0.015992001
724,1961,0.099534377,0.19549936,0.24858446,0.3111158,0.38357639,0.42697978,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11838675,0.015720105,-0.023235435,0.042304441,0.0078210002,0.029351,0.0092040002,0.010097
724,1962,0.095964983,0.14905009,0.21158144,0.28404206,0.32744545,0.39341566,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.099534377,0.11838675,0.015720105,-0.023235435,0.029294999,0.0078210002,0.029351,0.0092040002
724,1963,0.053085104,0.11561645,0.18807706,0.23148045,0.29745066,0.3865208,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.095964983,0.099534377,0.11838675,0.015720105,0.0081900004,0.029294999,0.0078210002,0.029351
